1|Good morning, how are you?|Good morning, how are you?
2|This is a beautiful day.|This is a beautiful day.
3|The sun is shining brightly.|The sun is shining brightly.
4|Please pass the salt.|Please pass the salt.
5|I love reading books.|I love reading books.
6|It's time for lunch.|It's time for lunch.
7|Can you help me with this?|Can you help me with this?
8|The cat is on the roof.|The cat is on the roof.
9|I will call you later.|I will call you later.
10|Have a nice day ahead!|Have a nice day ahead!
